,id,title,ingredients,NER,NER_mapped,NER_product_nl,NER_amount_used,NER_recipe_total_price
1041,1043,Custard Pie,"['6.0 eggs', '177.441 ml sugar', '4.92892 ml flour', '4.92892 ml vanilla', '1.0 pinch salt', '709.764 ml milk', '236.588 ml heavy cream', 'nutmeg', '1.0 unbaked pie shell']","[""eggs"", ""sugar"", ""flour"", ""vanilla"", ""salt"", ""milk"", ""heavy cream"", ""nutmeg"", ""shell""]","['eggs', 'sugar', 'flour', 'vanilla', 'salt', 'milk', 'cream', 'nutmeg', 'shell']","['AH Rondeel eieren M L', 'AH Rietsuiker', 'AH Tarwe bloem', 'AH Muffin vanille', 'AH Doperwten 0% zout', 'AH Karnemelk', 'AH Roomijsjes', 'Verstegen Zakje nootmuskaat heel', 'AH Taco schelpen']","[600.0, 177.441, 492.892, 492.892, 100.0, 709.764, 236.588, 100.0, 100.0]",8.98741344399328
1043,1045,Corn Casserole,"['1.0 can whole corn', '1.0 can creamed corn', '1.0 box jiffy corn mix', '236.588 ml sour cream', '1.0 stick margarine, melted']","[""corn"", ""corn"", ""corn mix"", ""sour cream"", ""margarine""]","['corn', 'corn', 'mix', 'cream', 'margarine']","['AH Popcorn Zout', 'AH Popcorn Zout', 'AH Hotmix', 'AH Roomijsjes', 'Becel Light margarine']","[100.0, 100.0, 100.0, 236.588, 100.0]",5.036368862121212
1050,1052,Tuna-Noodle Casserole,"['226.796 grams creamettes medium noodles, cooked as directed', '295.735 ml can cream of mushroom soup', '147.8675 ml can evaporated milk', '118.294 ml sour cream', '192.22775 ml can tuna, drained and flaked i use more tuna', '118.294 ml frozen, thawed and drained peas', '118.294 ml can mushroom pieces, drained', '59.147 ml chopped onion', '1.0 clove garlic, if desired']","[""noodles"", ""cream of mushroom soup"", ""milk"", ""sour cream"", ""tuna"", ""frozen"", ""mushroom"", ""onion"", ""clove garlic""]","['noodles', 'mushroom soup', 'milk', 'cream', 'tuna', 'frozen', 'mushroom', 'onion', 'garlic']","['AH Woknoedels', 'Unox Champignonsoep', 'AH Karnemelk', 'AH Roomijsjes', 'AH Pastasalade tonijn', 'AH bevroren fruit pakket', 'AH Champignonragout', 'AH Rode uien', 'AH Verse knoflook']","[226.796, 295.735, 147.8675, 118.294, 192.22775, 118.294, 118.294, 59.147, 100.0]",16.877999963765603
1052,1054,Hot Rolls,"['236.588 ml sugar', '236.588 ml lard', '946.353 ml sweet milk', '1.0 yeast cake', 'flour', '4.92892 ml baking powder', '4.92892 ml soda', '9.85784 ml salt']","[""sugar"", ""lard"", ""sweet milk"", ""yeast"", ""flour"", ""baking powder"", ""soda"", ""salt""]","['sugar', 'lard', 'milk', 'yeast', 'flour', 'baking powder', 'soda', 'salt']","['AH Rietsuiker', 'Château Maillard Cabernet Sauvignon', 'AH Karnemelk', 'Il Molino Droge gist', 'AH Tarwe bloem', 'Smaakt Wijnsteenbakpoeder', 'Driehoek Vloeibare soda', 'AH Doperwten 0% zout']","[236.588, 236.588, 946.353, 100.0, 100.0, 492.892, 492.892, 985.784]",21.57405360915161
1053,1055,Night Before Coffee Cake,"['157.7253333333333 ml butter', '236.588 ml granulated sugar', '118.294 ml brown sugar', '2.0 eggs, beaten', '473.176 ml flour, sifted', '4.92892 ml soda', '4.92892 ml baking powder', '9.85784 ml powdered milk', '2.46446 ml salt', '236.588 ml buttermilk', '118.294 ml brown sugar', '118.294 ml chopped pecans', '2.46446 ml cinnamon', '2.46446 ml nutmeg']","[""butter"", ""sugar"", ""brown sugar"", ""eggs"", ""flour"", ""soda"", ""baking powder"", ""powdered milk"", ""salt"", ""buttermilk"", ""brown sugar"", ""pecans"", ""cinnamon"", ""nutmeg""]","['butter', 'sugar', 'sugar', 'eggs', 'flour', 'soda', 'baking powder', 'milk', 'salt', 'buttermilk', 'sugar', 'pecans', 'cinnamon', 'nutmeg']","['AH Kruidenboter', 'AH Rietsuiker', 'AH Rietsuiker', 'AH Rondeel eieren M L', 'AH Tarwe bloem', 'Driehoek Vloeibare soda', 'Smaakt Wijnsteenbakpoeder', 'AH Karnemelk', 'AH Doperwten 0% zout', 'Arla Biologisch karnemelk', 'AH Rietsuiker', 'AH Ongebrande pecannoten', 'Bolletje Kanelly', 'Verstegen Zakje nootmuskaat heel']","[157.7253333333333, 236.588, 118.294, 200.0, 473.176, 492.892, 492.892, 985.784, 246.446, 236.588, 118.294, 118.294, 246.446, 246.446]",30.945462814436755
1054,1056,Summer Pickles,"['354.882 ml sugar', '354.882 ml vinegar', '4.92892 ml celery seed', '3.69669 ml garli236.588 mlsalt', '1.0 medium onion, chopped', '354.882 ml water', '4.92892 ml salt', '3.69669 ml onion salt', '3.69669 ml celery salt']","[""sugar"", ""vinegar"", ""celery"", ""garlic salt"", ""onion"", ""water"", ""salt"", ""onion salt"", ""celery salt""]","['sugar', 'vinegar', 'celery', 'salt', 'onion', 'water', 'salt', 'salt', 'salt']","['AH Rietsuiker', 'AH Natuurazijn wit', 'Verstegen Selderijzout', 'AH Doperwten 0% zout', 'AH Rode uien', 'AH Kokoswater', 'AH Doperwten 0% zout', 'AH Doperwten 0% zout', 'AH Doperwten 0% zout']","[354.882, 354.882, 492.892, 369.669, 100.0, 354.882, 492.892, 369.669, 369.669]",28.435542187296623
1056,1058,Coconut Pie,"['1.0 raw pie crust 9-inch', '236.588 ml sugar', '14.7868 ml flour', '78.86266666666666 ml margarine', '4.92892 ml vanilla', '2.0 eggs, beaten', '78.86266666666666 ml milk', 'coconut, bag or can use 591.47 ml or more if you like']","[""pie crust"", ""sugar"", ""flour"", ""margarine"", ""vanilla"", ""eggs"", ""milk"", ""coconut""]","['pie crust', 'sugar', 'flour', 'margarine', 'vanilla', 'eggs', 'milk', 'coconut']","['Kuchenmeister Taartbodem', 'AH Rietsuiker', 'AH Tarwe bloem', 'Becel Light margarine', 'AH Muffin vanille', 'AH Rondeel eieren M L', 'AH Karnemelk', 'AH Kokos op te kloppen']","[100.0, 236.588, 1478.6799999999998, 78.86266666666666, 492.892, 200.0, 78.86266666666666, 100.0]",6.659599495809523
1064,1066,Creamy Vinaigrette Dressing,"['118.294 ml white wine vinegar', 'salt and pepper', '236.588 ml olive oil']","[""white wine vinegar"", ""salt"", ""olive oil""]","['wine vinegar', 'salt', 'oil']","['AH Rode wijnazijn', 'AH Doperwten 0% zout', 'AH Slaolie']","[118.294, 100.0, 236.588]",7.7696619317647055
1065,1067,Spinach Pie,"['pizza dough enough for 2.0 layers', '1.0 medium onion, chopped', '2.0 cloves garlic, finely chopped', '0.5 stick margarine', '453.592 grams ricotta', '453.592 grams mozzarella', '1.0 pkg. frozen chopped spinach, drained', '118.294 ml grated parmesan cheese optional', '1.0 small can sauce pizza, tomato or spaghetti']","[""pizza dough"", ""onion"", ""garlic"", ""margarine"", ""Ricotta"", ""Mozzarella"", ""spinach"", ""Parmesan cheese"", ""pizza""]","['pizza dough', 'onion', 'garlic', 'margarine', 'ricotta', 'mozzarella', 'spinach', 'cheese', 'pizza']","['AH Mini pizzadeeg', 'AH Rode uien', 'AH Verse knoflook', 'Becel Light margarine', 'AH Pastasaus spinazie ricotta', 'AH Italiaanse mozzarella', 'Iglo Bladspinazie', 'AH Leverkaas', 'AH Mini pizzadeeg']","[100.0, 100.0, 200.0, 50.0, 453.592, 453.592, 100.0, 118.294, 100.0]",26.947164794094796
1066,1068,Yum Yum Coffee Cake,"['118.294 ml butter', '2.0 eggs', '4.92892 ml baking powder', '236.588 ml sour cream', '236.588 ml sugar', '473.176 ml flour', '4.92892 ml baking soda', '4.92892 ml vanilla']","[""butter"", ""eggs"", ""baking powder"", ""sour cream"", ""sugar"", ""flour"", ""baking soda"", ""vanilla""]","['butter', 'eggs', 'baking powder', 'cream', 'sugar', 'flour', 'baking soda', 'vanilla']","['AH Kruidenboter', 'AH Rondeel eieren M L', 'Smaakt Wijnsteenbakpoeder', 'AH Roomijsjes', 'AH Rietsuiker', 'AH Tarwe bloem', 'Dr. Oetker Baksoda', 'AH Muffin vanille']","[118.294, 200.0, 492.892, 236.588, 236.588, 473.176, 492.892, 492.892]",20.08745768287619
1068,1070,Ultimate Chocolate Cake,"['88.7205 ml unsweetened chocolate', '236.588 ml unsalted butter', '552.0386666666667 ml firmly packed light brown sugar', '552.0386666666667 ml sifted cake flour', '157.7253333333333 ml buttermilk', '236.588 ml boiling water', '4.92892 ml vanilla', '3.0 large eggs', '9.85784 ml baking soda', '4.92892 ml salt']","[""unsweetened chocolate"", ""unsalted butter"", ""brown sugar"", ""cake flour"", ""buttermilk"", ""boiling water"", ""vanilla"", ""eggs"", ""baking soda"", ""salt""]","['chocolate', 'butter', 'sugar', 'cake flour', 'buttermilk', 'water', 'vanilla', 'eggs', 'baking soda', 'salt']","['AH Hot choco', 'AH Kruidenboter', 'AH Rietsuiker', 'Koopmans Cakemeel', 'Arla Biologisch karnemelk', 'AH Kokoswater', 'AH Muffin vanille', 'AH Rondeel eieren M L', 'Dr. Oetker Baksoda', 'AH Doperwten 0% zout']","[88.7205, 236.588, 552.0386666666667, 552.0386666666667, 157.7253333333333, 236.588, 492.892, 300.0, 985.784, 492.892]",21.26208690695884
1070,1072,Jean Booth'S Party Punch,"['2.0 pkg. cherry kool-aid', '177.441 ml can frozen lemonade', '709.764 ml sugar', '177.441 ml can frozen orange juice', '1.0 large can pineapple juice']","[""cherry"", ""frozen lemonade"", ""sugar"", ""orange juice"", ""pineapple juice""]","['cherry', 'lemon', 'sugar', 'juice', 'juice']","['Pepsi Max cherry', 'AH Bitter lemon', 'AH Rietsuiker', 'AH Appelsap', 'AH Appelsap']","[200.0, 177.441, 709.764, 177.441, 100.0]",4.713148062424243
1072,1074,Banana Nut Bread,"['354.882 ml sugar', '118.294 ml butter cube', '2.0 eggs', '473.176 ml flour', '236.588 ml walnuts', '4.92892 ml vanilla', '59.1472 ml milk', '4.92892 ml soda', '2.0 bananas, crushed']","[""sugar"", ""butter"", ""eggs"", ""flour"", ""walnuts"", ""vanilla"", ""milk"", ""soda"", ""bananas""]","['sugar', 'butter', 'eggs', 'flour', 'walnuts', 'vanilla', 'milk', 'soda', 'bananas']","['AH Rietsuiker', 'AH Kruidenboter', 'AH Rondeel eieren M L', 'AH Tarwe bloem', 'AH Ongebrande walnoten', 'AH Muffin vanille', 'AH Karnemelk', 'Driehoek Vloeibare soda', 'AH Biologisch Fairtrade bananen']","[354.882, 118.294, 200.0, 473.176, 236.588, 492.892, 59.1472, 492.892, 200.0]",14.92520913698578
1077,1079,Irish Potato Candy,"['1.0 medium size potato', '1.0 box powdered sugar', '1.0 small jar peanut butter']","[""potato"", ""powdered sugar"", ""peanut butter""]","['potato', 'sugar', 'butter']","['AH Vastkokende aardappel', 'AH Rietsuiker', 'AH Kruidenboter']","[100.0, 100.0, 100.0]",1.6295633333333335
1080,1082,Blonde Brownies,"['473.176 ml flour', '1.23223 ml soda', '4.92892 ml baking powder', '4.92892 ml salt', '473.176 ml brown sugar', '157.7253333333333 ml butter', '2.0 eggs', '9.85784 ml vanilla', '236.588 ml chocolate chips', '78.86266666666666 ml chopped nuts']","[""flour"", ""soda"", ""baking powder"", ""salt"", ""brown sugar"", ""butter"", ""eggs"", ""vanilla"", ""chocolate chips"", ""nuts""]","['flour', 'soda', 'baking powder', 'salt', 'sugar', 'butter', 'eggs', 'vanilla', 'chip', 'nuts']","['AH Tarwe bloem', 'Driehoek Vloeibare soda', 'Smaakt Wijnsteenbakpoeder', 'AH Doperwten 0% zout', 'AH Rietsuiker', 'AH Kruidenboter', 'AH Rondeel eieren M L', 'AH Muffin vanille', 'AH Oven friet', 'AH Walnoten']","[473.176, 123.223, 492.892, 492.892, 473.176, 157.7253333333333, 200.0, 985.784, 236.588, 78.86266666666666]",27.856576440472217
1082,1084,Pistachio Coffee Cake,"['1.0 pkg. pillsbury plus yellow cake mix pudding in the mix', '1.0 pkg. royal pistachio instant pudding', '236.588 ml container sour cream', '4.0 eggs', '59.147 ml cold water', '59.147 ml mazola or wesson oil']","[""yellow cake"", ""pistachio instant pudding"", ""sour cream"", ""eggs"", ""cold water"", ""Wesson oil""]","['cake', 'pudding', 'cream', 'eggs', 'water', 'oil']","['AH Cupcakes', 'Dr. Oetker Kloppudding aardbei', 'AH Roomijsjes', 'AH Rondeel eieren M L', 'AH Kokoswater', 'AH Slaolie']","[100.0, 100.0, 236.588, 400.0, 59.147, 59.147]",7.379043812934362
1087,1089,Breakfast Casserole(Serves 8)  ,"['177.441 ml long grain and wild rice', '453.592 grams ground beef or turkey', '1.0 large onion, chopped', '236.588 ml sliced water chestnuts', '81.327125 ml sliced almonds', '453.592 grams hot sausage', '236.588 ml canned mushrooms', '44.3604 ml soy sauce']","[""long grain"", ""ground beef"", ""onion"", ""water"", ""almonds"", ""hot sausage"", ""mushrooms"", ""soy sauce""]","['grain', 'beef', 'onion', 'water', 'almonds', 'sausage', 'mushrooms', 'soy sauce']","['AH Langgraan rijst', 'AH Rosbief', 'AH Rode uien', 'AH Kokoswater', 'AH Amandelen gezouten', 'AH Ossenworst', 'AH Witte champignons', 'ABC Sweet soy sauce']","[177.441, 453.592, 100.0, 236.588, 81.327125, 453.592, 236.588, 44.3604]",30.069274793497147
1088,1090,Chocolate Peanut Butter Puffs,"['36.0 large marshmallows', '177.441 ml pkg. semi-sweet chocolate bits', '354.882 ml peanut butter', '29.5736 ml butter']","[""marshmallows"", ""semi-sweet chocolate bits"", ""peanut butter"", ""butter""]","['marshmallows', 'chocolate', 'butter', 'butter']","['Frisia Vegan marshmallows', 'AH Hot choco', 'AH Kruidenboter', 'AH Kruidenboter']","[36.0, 177.441, 354.882, 29.5736]",5.8133999874999995
1090,1092,Fresh Apple Cake,"['295.735 ml oil', '3.0 eggs', '709.764 ml all-purpose flour', '2.46446 ml salt', '709.764 ml chopped, peeled apples', '473.176 ml sugar', '14.7868 ml vanilla', '4.92892 ml soda', '236.588 ml chopped pecans']","[""oil"", ""eggs"", ""all-purpose"", ""salt"", ""peeled apples"", ""sugar"", ""vanilla"", ""soda"", ""pecans""]","['oil', 'eggs', 'all-purpose', 'salt', 'apple', 'sugar', 'vanilla', 'soda', 'pecans']","['AH Slaolie', 'AH Rondeel eieren M L', 'AH Allesreiniger oceaan', 'AH Doperwten 0% zout', 'AH Ananas', 'AH Rietsuiker', 'AH Muffin vanille', 'Driehoek Vloeibare soda', 'AH Ongebrande pecannoten']","[295.735, 300.0, 709.764, 246.446, 709.764, 473.176, 1478.6799999999998, 492.892, 236.588]",37.45095814527485
1094,1096,Funnel Cakes,"['1.0 egg', '157.7253333333333 ml milk', '315.4506666666666 ml flour', '29.5736 ml sugar', '1.23223 ml salt', '2.46446 ml soda', '11.090069999999999 ml baking powder']","[""egg"", ""milk"", ""flour"", ""sugar"", ""salt"", ""soda"", ""baking powder""]","['egg', 'milk', 'flour', 'sugar', 'salt', 'soda', 'baking powder']","['AH Lasagne ei', 'AH Karnemelk', 'AH Tarwe bloem', 'AH Rietsuiker', 'AH Doperwten 0% zout', 'Driehoek Vloeibare soda', 'Smaakt Wijnsteenbakpoeder']","[100.0, 157.7253333333333, 315.4506666666666, 29.5736, 123.223, 246.446, 1109.0069999999998]",29.373719285380282
1095,1097,Donah'S Coffee Milk,"['118.294 ml brewed coffee', '118.294 ml milk', '9.85784 ml sugar']","[""coffee"", ""milk"", ""sugar""]","['coffee', 'milk', 'sugar']","['AH Mousse koffie', 'AH Karnemelk', 'AH Rietsuiker']","[118.294, 118.294, 985.784]",5.8042947866666665
1096,1098,Marshmallows,"['36.967 ml unflavored gelatin', '1.5 cups granulated sugar', '1.23223 ml salt', '29.5736 ml vanilla', '1.0 cup light corn syrup', 'confectioners sugar for dusting']","[""unflavored gelatin"", ""sugar"", ""salt"", ""vanilla"", ""light corn syrup"", ""Confectioners sugar""]","['gelatin', 'sugar', 'salt', 'vanilla', 'corn', 'sugar']","['Dr. Oetker Bladgelatine helder', 'AH Rietsuiker', 'AH Doperwten 0% zout', 'AH Muffin vanille', 'AH Popcorn Zout', 'AH Rietsuiker']","[36.967, 150.0, 123.223, 29.5736, 100.0, 100.0]",2.5068699337254903
1104,1106,Breakfast Casserole,"['6.0 slices white bread crusts removed', '0.5 stick margarine', '354.882 ml shredded cheese longhorn', '5.0 eggs, beaten well use mixer', '473.176 ml half and half cream', '453.592 grams sausage', '4.92892 ml salt', '4.92892 ml dry mustard']","[""white bread"", ""margarine"", ""shredded cheese"", ""eggs"", ""cream"", ""sausage"", ""salt"", ""dry mustard""]","['bread', 'margarine', 'cheese', 'eggs', 'cream', 'sausage', 'salt', 'mustard']","['AH Flatbread', 'Becel Light margarine', 'AH Leverkaas', 'AH Rondeel eieren M L', 'AH Roomijsjes', 'AH Ossenworst', 'AH Doperwten 0% zout', 'Doesburgsche mosterd']","[600.0, 50.0, 354.882, 500.0, 473.176, 453.592, 492.892, 492.892]",27.141409977209065
1107,1109,Old-Fashioned Scalloped Potatoes,"['potatoes', 'milk', 'butter', 'flour', 'salt and pepper', 'chopped onion', 'chopped parsley']","[""potatoes"", ""milk"", ""butter"", ""flour"", ""salt"", ""onion"", ""parsley""]","['potatoes', 'milk', 'butter', 'flour', 'salt', 'onion', 'parsley']","['AH Stamppot aardappelen', 'AH Karnemelk', 'AH Kruidenboter', 'AH Tarwe bloem', 'AH Doperwten 0% zout', 'AH Rode uien', 'AH Platte peterselie']","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]",2.3271860784313727
1110,1112,Pecan Fudge Pie,"['236.588 ml sugar', '59.147 ml self-rising flour', '59.147 ml cocoa', '2.0 eggs', '4.92892 ml vanilla', '0.5 stick butter', '1.0 uncooked pie shell', '118.294 ml pecans']","[""sugar"", ""flour"", ""cocoa"", ""eggs"", ""vanilla"", ""butter"", ""shell"", ""pecans""]","['sugar', 'flour', 'cocoa', 'eggs', 'vanilla', 'butter', 'shell', 'pecans']","['AH Rietsuiker', 'AH Tarwe bloem', 'Oatly! Haverdrank cacao', 'AH Rondeel eieren M L', 'AH Muffin vanille', 'AH Kruidenboter', 'AH Taco schelpen', 'AH Ongebrande pecannoten']","[236.588, 59.147, 59.147, 200.0, 492.892, 50.0, 100.0, 118.294]",9.231259052442859
1111,1113,Browned Chicken And Salsa,"['chicken legs, thighs, wings 2.0 each', '14.7868 ml butter, cooking oil or olive oil', 'your favorite salsa']","[""chicken"", ""butter"", ""your favorite salsa""]","['chicken', 'butter', 'salsa']","['AH Bapao kip', 'AH Kruidenboter', 'Mora Mexicaanse salsa']","[100.0, 1478.6799999999998, 100.0]",21.007666666666662
1113,1115,Cheese Patties With Pecans,"['226.796 grams sharp cheese', '1.0 stick butter', '354.882 ml flour', '3.69669 ml salt', 'pecans']","[""sharp cheese"", ""butter"", ""flour"", ""salt"", ""pecans""]","['cheese', 'butter', 'flour', 'salt', 'pecans']","['AH Leverkaas', 'AH Kruidenboter', 'AH Tarwe bloem', 'AH Doperwten 0% zout', 'AH Ongebrande pecannoten']","[226.796, 100.0, 354.882, 369.669, 100.0]",5.906018856309803
1115,1117,Crispy Baked Onion Rings,"['2.0 large sweet onions', '207.0145 ml pkg. corn flakes', '4.92892 ml seasoned salt', '9.85784 ml sugar', '4.92892 ml paprika', '236.588 ml egg substitute']","[""sweet onions"", ""corn flakes"", ""salt"", ""sugar"", ""paprika"", ""egg substitute""]","['onion', 'corn flakes', 'salt', 'sugar', 'paprika', 'egg substitute']","['AH Rode uien', 'Olvarit 15+ mnd multigranen & maisvlokken', 'AH Doperwten 0% zout', 'AH Rietsuiker', 'AH Rauwkost paprika', 'Smaakt Vegan eivervanger']","[200.0, 207.0145, 492.892, 985.784, 492.892, 236.588]",15.250535143235295
1120,1122,Fresh Cranberry-Orange Relish,"['1.0 navel orange, unpeeled and cut into small chunks', '1.0 bag cranberries 354.882 ml', '177.441 ml granulated sugar']","[""orange"", ""cranberries"", ""sugar""]","['orange', 'cranberries', 'sugar']","['AH Handsinaasappelen', 'AH Doosje met cranberries', 'AH Rietsuiker']","[100.0, 100.0, 177.441]",1.46822198
1121,1123,May Muffins,"['236.588 ml self-rising flour', '44.3604 ml mayonnaise', '118.294 ml buttermilk']","[""flour"", ""mayonnaise"", ""buttermilk""]","['flour', 'mayonnaise', 'buttermilk']","['AH Tarwe bloem', 'AH Pesto mayonaise', 'Arla Biologisch karnemelk']","[236.588, 44.3604, 118.294]",2.9523022212
1123,1125,Quick Salmon Casserole,"['229.194625 ml can salmon', '295.735 ml can condensed cream of mushroom soup', '59.147 ml liquid liquid from canned salmon plus milk to volume', '354.882 ml cooked or canned peas', '236.588 ml unbroken potato chips']","[""salmon"", ""condensed cream"", ""liquid"", ""peas"", ""chips""]","['salmon', 'cream', 'liquid', 'peas', 'chips']","['AH Toast zalm', 'AH Roomijsjes', 'AH Basis vloeibaar', 'AH Kikkererwten', 'AH Oven friet']","[229.194625, 295.735, 59.147, 354.882, 236.588]",12.714144333141027
1128,1130,Quick One Dish Meal,"['1.0 box kraft macaroni and cheese', '1.0 green pepper, chopped', '177.441 ml can tuna', '1.0 small onion, chopped']","[""macaroni"", ""green pepper"", ""tuna"", ""onion""]","['macaroni', 'pepper', 'tuna', 'onion']","['Knorr Maaltijdmix macaroni', 'AH Rode peper', 'AH Pastasalade tonijn', 'AH Rode uien']","[100.0, 100.0, 177.441, 100.0]",5.107337011241218
1130,1132,Bean Dip,"['453.592 grams ground beef', '1.0 medium onion, diced', '1.0 can refried beans', '1.0 pkg. taco seasoning mix', '443.60249999999996 ml can tomato sauce', '1.0 small pkg. sour cream', 'grated cheese mexican, optional']","[""ground beef"", ""onion"", ""beans"", ""taco seasoning mix"", ""tomato sauce"", ""sour cream"", ""grated cheese""]","['beef', 'onion', 'beans', 'seasoning mix', 'tomato sauce', 'cream', 'cheese']","['AH Rosbief', 'AH Rode uien', 'AH Sojabonen', 'AH Taco seasoning mix', 'AH Pizzadeeg tomatensaus', 'AH Roomijsjes', 'AH Leverkaas']","[453.592, 100.0, 100.0, 100.0, 443.60249999999996, 100.0, 100.0]",20.28339516309524
1132,1135,Salmon Patties For Two,"['229.194625 ml can salmon', '8.0 soda crackers, crumbled', '1.0 egg', '14.7868 ml onion, grated', '14.7868 ml parsley', '0.25 to 4.92892 ml dry mustard', 'salt', 'celery, chopped', '14.7868 ml lemon juice']","[""salmon"", ""crackers"", ""egg"", ""onion"", ""parsley"", ""dry mustard"", ""salt"", ""celery"", ""lemon juice""]","['salmon', 'crackers', 'egg', 'onion', 'parsley', 'mustard', 'salt', 'celery', 'juice']","['AH Toast zalm', 'AH Soja crackers', 'AH Lasagne ei', 'AH Rode uien', 'AH Platte peterselie', 'Doesburgsche mosterd', 'AH Doperwten 0% zout', 'Verstegen Selderijzout', 'AH Appelsap']","[229.194625, 800.0, 100.0, 1478.6799999999998, 1478.6799999999998, 25.0, 100.0, 100.0, 1478.6799999999998]",33.06017263619223
1133,1136,Soft Date Cookies,"['1.0 pkg dates cut up', '2.0 tsp soda', '473.176 ml sugar', '2.0 tbsp butter', '2.0 eggs', '2.0 tsp vanilla', '946.352 ml flour', 'salt']","[""dates"", ""soda"", ""sugar"", ""butter"", ""eggs"", ""vanilla"", ""flour"", ""salt""]","['dates', 'soda', 'sugar', 'butter', 'eggs', 'vanilla', 'flour', 'salt']","['AH Medjoul dadels', 'Driehoek Vloeibare soda', 'AH Rietsuiker', 'AH Kruidenboter', 'AH Rondeel eieren M L', 'AH Muffin vanille', 'AH Tarwe bloem', 'AH Doperwten 0% zout']","[100.0, 200.0, 473.176, 200.0, 200.0, 200.0, 946.352, 100.0]",8.701107620922174
1134,1137,Pickled Corn,"['corn', 'canning salt', 'water', 'vinegar']","[""corn"", ""canning salt"", ""water"", ""vinegar""]","['corn', 'salt', 'water', 'vinegar']","['AH Popcorn Zout', 'AH Doperwten 0% zout', 'AH Kokoswater', 'AH Natuurazijn wit']","[100.0, 100.0, 100.0, 100.0]",3.300529411764706
1136,1139,Cheese Squash,"['907.184 grams summer squash', '1.0 medium onion, chopped', '236.588 ml cheddar cheese, grated', '14.7868 ml sugar', '2.0 eggs, beaten', '44.3604 ml butter, melted', '4.92892 ml ground sage', 'paprika', 'salt and pepper to taste']","[""summer squash"", ""onion"", ""Cheddar cheese"", ""sugar"", ""eggs"", ""butter"", ""ground sage"", ""paprika"", ""salt""]","['squash', 'onion', 'cheese', 'sugar', 'eggs', 'butter', 'sage', 'paprika', 'salt']","['AH Flespompoen stukjes', 'AH Rode uien', 'AH Leverkaas', 'AH Rietsuiker', 'AH Rondeel eieren M L', 'AH Kruidenboter', 'AH Ossenworst', 'AH Rauwkost paprika', 'AH Doperwten 0% zout']","[907.184, 100.0, 236.588, 1478.6799999999998, 200.0, 44.3604, 492.892, 100.0, 100.0]",26.894094108123248
1138,1141,Spinach Balls,"['2.0 pkg. frozen chopped spinach, cooked and drained', '473.176 ml seasoned stuffing mix', '2.0 onions, chopped', '4.0 eggs', '157.7253333333333 ml melted butter', '118.294 ml parmesan cheese', '2.46446 ml garli236.588 mlsalt', '2.46446 ml thyme', '1.23223 ml pepper']","[""spinach"", ""stuffing mix"", ""onions"", ""eggs"", ""butter"", ""Parmesan cheese"", ""garlic salt"", ""thyme"", ""pepper""]","['spinach', 'mix', 'onions', 'eggs', 'butter', 'cheese', 'salt', 'thyme', 'pepper']","['Iglo Bladspinazie', 'AH Hotmix', 'AH Rode uien', 'AH Rondeel eieren M L', 'AH Kruidenboter', 'AH Leverkaas', 'AH Doperwten 0% zout', 'Daro Thijmsiroop', 'AH Rode peper']","[200.0, 473.176, 200.0, 400.0, 157.7253333333333, 118.294, 246.446, 246.446, 123.223]",24.382546008403363
1142,1145,Cabbage Patch Stew,"['453.592 grams hamburger', '118.294 ml sliced celery', '4.92892 ml salt', '2.46446 ml pepper', '1.0 can tomatoes', '1.0 medium onion, chopped', '118.294 ml chopped green pepper', '1.0 can chili beans', '1.0 can kidney beans', '709.764 ml shredded cabbage']","[""hamburger"", ""celery"", ""salt"", ""pepper"", ""tomatoes"", ""onion"", ""green pepper"", ""chili beans"", ""kidney beans"", ""cabbage""]","['hamburger', 'celery', 'salt', 'pepper', 'tomatoes', 'onion', 'pepper', 'bean', 'bean', 'cabbage']","['Borgesius Luxe hamburgerbroodjes', 'Verstegen Selderijzout', 'AH Doperwten 0% zout', 'AH Rode peper', 'AH Roma tomaten', 'AH Rode uien', 'AH Rode peper', 'AH Sojabonen', 'AH Sojabonen', 'AH Chinese kool']","[453.592, 118.294, 492.892, 246.446, 100.0, 100.0, 118.294, 100.0, 100.0, 709.764]",28.477819345682104
1143,1146,Reuben Dip,"['4.0 pkg. buddig corned beef, cubed', '1.0 can sauerkraut, drain and chop', '0.75 to 453.592 grams swiss cheese, shredded', '118.294 ml real mayonnaise']","[""corned beef"", ""sauerkraut"", ""Swiss cheese"", ""mayonnaise""]","['beef', 'sauerkraut', 'cheese', 'mayonnaise']","['AH Rosbief', 'AH Kruidenzuurkool', 'AH Leverkaas', 'AH Pesto mayonaise']","[400.0, 100.0, 75.0, 118.294]",15.34084576923077
1145,1148,Onion Sandwich Spread,"['1.0 large onion', '118.294 ml pkg. cream cheese', '59.1472 ml mayonnaise', '1.0 pinch salt']","[""onion"", ""cream cheese"", ""mayonnaise"", ""salt""]","['onion', 'cheese', 'mayonnaise', 'salt']","['AH Rode uien', 'AH Leverkaas', 'AH Pesto mayonaise', 'AH Doperwten 0% zout']","[100.0, 118.294, 59.1472, 100.0]",2.816262078431372
